Subject,Nativeness,Narrative,Reference,Referent_Name,Discourse,GTR1,Previous_Mention_Score,Saliency_Score,Competition_Score,Accessibility
2,1,1,1,Wood,Introduction,SASS - Tracing,0,0,0,0
2,1,1,2,Tom,Introduction,Body part CL,0,0,-1,-1
2,1,1,3,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,1,4,Jerry,Introduction,Bare noun,0,0,-2,-2
2,1,1,5,Jerry,Maintenance,Whole entity CL,3,1,0,4
2,1,1,6,Tom,Re-introduction,Whole entity CL,2,1,-2,1
2,1,1,7,Tom,Maintenance,Whole entity CL,3,1,0,4
2,1,1,8,Tom,Maintenance,Whole entity CL,3,1,0,4
2,1,1,9,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,1,10,Tom,Maintenance,Plain verb,3,2,0,5
2,1,1,11,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,1,12,Tom,Maintenance,Plain verb,3,2,0,5
2,1,1,13,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,1,14,Jerry,Re-introduction,Bare noun,2,0,-2,0
2,1,1,15,Tom,Re-introduction,Bare noun,2,2,-2,2
2,1,1,16,Tom,Maintenance,Body part CL,3,2,0,5
2,1,1,17,Tom,Maintenance,Plain verb,3,2,0,5
2,1,1,18,Tom,Maintenance,Body part CL,3,2,0,5
2,1,10,1,Jerry,Introduction,Bare noun,1,0,0,1
2,1,10,2,Tom,Introduction,Bare noun,1,0,-1,0
2,1,10,3,Tom,Maintenance,Bare noun,3,1,0,4
2,1,10,4,Tom,Maintenance,Bare noun,3,1,0,4
2,1,10,5,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,10,6,Jerry,Re-introduction,Bare noun,2,0,-1,1
2,1,10,7,Tom,Re-introduction,Constructed Action,2,2,-1,3
2,1,10,8,Jerry,Re-introduction,Bare noun,2,1,-1,2
2,1,10,9,Jerry,Maintenance,Plain verb,3,1,0,4
2,1,10,10,Tom,Re-introduction,Constructed Action,2,1,-1,2
2,1,10,11,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,10,12,Tom,Maintenance,Person agreement verb,3,1,0,4
2,1,10,13,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,10,14,Tom,Maintenance,Person agreement verb,3,2,0,5
2,1,5,1,Tom,Introduction,Bare noun,1,0,0,1
2,1,5,2,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,5,3,Tom,Maintenance,Body part CL,3,1,0,4
2,1,5,4,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,5,5,Couch,Introduction,Bare noun,0,0,-1,-1
2,1,5,6,Rope,Introduction,Bare noun,0,0,-2,-2
2,1,5,7,Tom,Maintenance,Constructed Action,2,1,0,3
2,1,5,8,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,5,9,Jerry,Introduction,Bare noun,1,0,-2,-1
2,1,5,10,Tom,Re-introduction,Constructed Action,2,1,-2,1
2,1,5,11,Jerry,Re-introduction,Bare noun,2,1,-2,1
2,1,5,12,Jerry,Maintenance,Constructed Action,3,1,0,4
2,1,5,13,Rope,Re-introduction,Bare noun,2,0,-2,0
2,1,5,14,Jerry,Re-introduction,Whole entity CL,2,1,-2,1
2,1,5,15,Tom,Re-introduction,Bare noun,2,0,-2,0
2,1,5,16,Tom,Maintenance,Body part CL,3,1,0,4
2,1,6,17,Trap,Introduction,Bare noun,0,0,0,0
2,1,6,19,Trap,Maintenance,Person agreement verb,3,1,0,4
2,1,6,20,Tom,Re-introduction,Plain verb,1,0,-1,0
2,1,6,1,Jerry,Introduction,Bare noun,1,0,-2,-1
2,1,6,2,Jerry,Maintenance,Plain verb,3,1,0,4
2,1,6,3,Tom,Introduction,Bare noun,2,1,-2,1
2,1,6,4,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,6,5,Jerry,Re-introduction,Plain verb,2,1,-2,1
2,1,6,6,Tom,Re-introduction,Constructed Action,2,1,-2,1
2,1,6,7,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,6,8,Tom,Maintenance,Plain verb,3,2,0,5
2,1,6,9,Tom,Maintenance,Plain verb,3,2,0,5
2,1,6,10,Cabinet,Introduction,Bare noun,0,0,-2,-2
2,1,6,11,Tom,Re-introduction,Constructed Action,2,2,-2,2
2,1,6,12,Window,Introduction,Bare noun,0,0,-2,-2
2,1,6,13,Tom,Re-introduction,Bare noun,2,1,-2,1
2,1,6,14,Tom,Maintenance,Person agreement verb,3,1,0,4
2,1,6,15,Jerry,Re-introduction,Noun CL,2,0,-2,0
2,1,6,16,Jerry,Maintenance,Person agreement verb,3,1,0,4
2,1,2,1,White cat,Introduction,Bare noun,0,0,0,0
2,1,2,2,Tom,Introduction,Bare noun,1,0,-1,0
2,1,2,3,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,2,4,Tom,Maintenance,Constructed Action,3,1,0,4
2,1,2,5,Tom,Maintenance,Plain verb,3,2,0,5
2,1,2,6,Fish,Introduction,Bare noun,0,0,-2,-2
2,1,2,7,Aquarium,Introduction,Bare noun,0,0,-2,-2
2,1,2,8,Tom,Maintenance,Constructed Action,2,1,0,3
2,1,2,9,White cat,Re-introduction,Bare noun,2,0,-2,0
2,1,2,10,Tom,Re-introduction,Whole entity CL,2,1,-2,1
2,1,2,11,Bird,Introduction,Bare noun,0,0,-2,-2
2,1,2,12,Tom,Re-introduction,Constructed Action,2,1,-2,1
2,1,2,13,White cat,Re-introduction,Bare noun,2,1,-2,1
2,1,2,14,Tom,Re-introduction,Constructed Action,2,1,-2,1
2,1,2,15,Tom,Maintenance,Body part CL,3,1,0,4
2,1,2,16,Tom,Maintenance,Constructed Action,3,2,0,5
2,1,3,1,Stairs,Introduction,Bare noun,0,0,0,0
2,1,3,2,Jerry,Introduction,Bare noun,0,0,-1,-1
2,1,3,3,Tom,Introduction,Bare noun,1,0,-2,-1
2,1,3,4,Tom,Maintenance,Whole entity CL,3,1,0,4
2,1,3,5,Jerry,Re-introduction,Bare noun,2,1,-2,1
2,1,3,6,Tom,Re-introduction,Bare noun,2,1,-2,1
2,1,3,7,Piano,Introduction,Noun CL,0,0,-2,-2
2,1,3,8,Jerry,Re-introduction,Bare noun,2,1,-2,1
