Participant,Narrative,RE,Discourse,Order,Time,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB
3,10,KEDİ,Maintenance,Order4,20.0,0.554794908,0.5370875,0.0263666864,0.999510765,0.397419751,0.544974267,-0.0200497769,0.998110652,0.604993701,0.774893,-0.228779748,0.981662333,0.390574783,0.758838236,-0.297982872,0.980860174,0.538548291,0.622781,-0.546939254,0.979280591,0.453903258,0.529810131,-0.566445947,0.996075,0.518494964,0.581828356,-0.60718447,0.943738461,0.466627151,0.474823743,-0.619626701,0.984358191,0.52005893,0.56733948,-0.534775734,0.936207473,0.462597072,0.477188349,-0.557477653,0.977971137
3,10,KEDİ,Maintenance,Order4,40.0,0.555095911,0.536948383,-0.0217436068,0.999573052,0.397435486,0.547373533,-0.0736831948,0.998404264,0.60337764,0.776311874,-0.266702473,0.98169893,0.393143505,0.781169534,-0.336175591,0.982812,0.538004041,0.616990924,-0.592300117,0.979597807,0.453895122,0.537411928,-0.60348326,0.99625814,0.519414127,0.57139045,-0.648663819,0.94452548,0.464866787,0.475947917,-0.653524041,0.984973,0.519193888,0.562020838,-0.580367,0.936178863,0.460067451,0.478008568,-0.594546676,0.97865051
3,10,KEDİ,Maintenance,Order4,60.0,0.555951476,0.535981476,-0.0563605689,0.999608636,0.39705,0.549075246,-0.0916218311,0.998641074,0.602505386,0.777040601,-0.303762048,0.981064856,0.393821418,0.795864582,-0.356539607,0.984231651,0.536070943,0.60805124,-0.637485266,0.978401,0.455409229,0.543770134,-0.633218527,0.996332288,0.518337846,0.555359483,-0.694104075,0.941263795,0.465241164,0.479813755,-0.683670938,0.985096812,0.517890155,0.548080564,-0.625142097,0.931966603,0.460586548,0.482083708,-0.623609185,0.978776336
3,10,KEDİ,Maintenance,Order4,80.0,0.556586802,0.536379218,-0.0325077586,0.999628663,0.397300154,0.550302207,-0.0628453717,0.99883008,0.601779819,0.777584612,-0.280660361,0.979940653,0.392984867,0.799414933,-0.333907872,0.985525131,0.533755,0.604191482,-0.599985838,0.978242218,0.457121849,0.5503667,-0.608143032,0.996531665,0.515648365,0.548509479,-0.653959453,0.94088155,0.467949778,0.486974865,-0.660993278,0.985744834,0.517138183,0.540966153,-0.587245,0.931789339,0.462752312,0.488846,-0.599460304,0.979677796
3,10,KEDİ,Maintenance,Order4,100.0,0.55736053,0.537598431,-0.0130669596,0.999665,0.397586226,0.550349116,-0.0479960963,0.998991132,0.60113126,0.777908742,-0.2520504,0.980317,0.394316971,0.800218165,-0.310949147,0.986680627,0.534740508,0.609920263,-0.565882266,0.979647577,0.458226025,0.558889687,-0.570713758,0.996776521,0.515883863,0.564592183,-0.617405295,0.944316208,0.471476138,0.501452148,-0.618654311,0.98670429,0.518099964,0.551040947,-0.554578543,0.935863614,0.466442376,0.496791929,-0.559910417,0.981057703
3,10,KEDİ,Maintenance,Order4,120.0,0.557798624,0.538731456,-0.0018403572,0.999690235,0.397592813,0.550296724,-0.0244339928,0.999101937,0.601043,0.778045058,-0.220728308,0.980396569,0.394369155,0.804895341,-0.276251465,0.987385809,0.536974609,0.623670936,-0.521949887,0.979929447,0.457701802,0.572397232,-0.54324609,0.9967556,0.518526673,0.590201914,-0.571873307,0.944194078,0.473833084,0.5366925,-0.59157455,0.986496449,0.520063221,0.57596904,-0.510002613,0.936356,0.469321102,0.524967,-0.532288373,0.980899572
3,10,KEDİ,Maintenance,Order4,140.0,0.558017552,0.539733052,0.00124890555,0.999715745,0.397391051,0.550518215,0.00946514495,0.99918592,0.600802064,0.784050405,-0.203813136,0.981496394,0.393730313,0.808803201,-0.235268608,0.987831295,0.53634429,0.63243407,-0.480748147,0.981263518,0.455981404,0.576747119,-0.513212144,0.996854663,0.51674515,0.600984,-0.528014064,0.946642578,0.47226885,0.545039833,-0.561843038,0.986788034,0.519680619,0.584230661,-0.466854215,0.939184904,0.468090653,0.537352562,-0.501914084,0.981268585
3,10,KEDİ,Maintenance,Order4,160.0,0.557333708,0.540248871,-0.0233688876,0.999746203,0.397745252,0.551874697,0.021684587,0.999277532,0.60081017,0.783460677,-0.202319786,0.982838452,0.390299,0.817946792,-0.214985237,0.987762392,0.537705,0.635557115,-0.468294084,0.982941687,0.448700786,0.593452632,-0.51608628,0.996995687,0.518299162,0.607370079,-0.513379514,0.949822485,0.464457363,0.566998541,-0.566183805,0.98728168,0.519627869,0.590320945,-0.455665737,0.943122745,0.460151047,0.557377875,-0.50607425,0.981993556
3,10,KEDİ,Maintenance,Order4,180.0,0.557363808,0.541056693,-0.0416128151,0.999779105,0.398802936,0.552765548,-0.00330411736,0.999361634,0.600920498,0.784861565,-0.230783477,0.984632492,0.38793987,0.827330589,-0.227110639,0.987276077,0.538363159,0.64286989,-0.534848332,0.984662831,0.440603644,0.629727483,-0.559970498,0.996700823,0.518033922,0.618483365,-0.586363137,0.954187036,0.455323875,0.603429198,-0.614538848,0.986455381,0.518832505,0.597776413,-0.523177505,0.947667778,0.451443702,0.583904684,-0.55317384,0.980941057
3,10,KEDİ,Maintenance,Order4,200.0,0.557490766,0.541504443,-0.0352791212,0.999806821,0.399317145,0.553194463,0.0058705518,0.999432802,0.600867569,0.783006489,-0.231357262,0.985987186,0.386738896,0.820904791,-0.229163721,0.98705411,0.537710965,0.642385721,-0.534519613,0.985945046,0.440687239,0.622083843,-0.559034407,0.996372283,0.518280387,0.615806103,-0.586164355,0.957277954,0.454001874,0.594713748,-0.612352431,0.985324442,0.518447518,0.595637202,-0.522525966,0.950703621,0.452805966,0.577520311,-0.550879061,0.979430556
