,Participant,Narrative,RE,Discourse,Order,Accessibility,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Duration
0,2.0,1,FARE,Introduction,4,-2.0,0.22280284996953326,0.23909531276806553,0.1056642215468024,0.1028895728997751,0.4
1,2.0,1,FARE,Re-introduction,14,0.0,0.3211053724372032,0.3701335968897455,0.11790244098220168,0.0909030666765028,0.58
2,2.0,2,KEDİ,Introduction,1,0.0,0.5768171892206007,0.6136641544292774,0.19175378442602672,0.19306140375272543,0.58
3,2.0,2,KEDİ,Re-introduction,9,0.0,0.2256876203434821,0.25280247582693377,0.11372821287939547,0.0853868474260819,0.36
4,2.0,2,KEDİ,Re-introduction,13,1.0,0.4549202094974531,0.48936968254407465,0.0787235921287126,0.11810685614000646,0.42000000000000004
5,2.0,3,FARE,Introduction,2,-1.0,0.37042289404013723,0.4096849791658754,0.13237493667677058,0.09422062236655679,0.26
6,2.0,3,FARE,Re-introduction,5,1.0,0.1116040055304865,0.130992781611893,0.0314284243096168,0.0472738257039567,0.26
7,2.0,3,FARE,Re-introduction,8,1.0,0.16977400856334648,0.19360213195540288,0.029248782475774716,0.024203581423051745,0.2
8,2.0,3,KEDİ,Introduction,3,-1.0,0.24782783968432034,0.2604924299151932,0.12279144902716774,0.1148670409629399,0.5
9,2.0,3,KEDİ,Re-introduction,10,1.0,0.176808111677679,0.1874094578436652,0.0163652842290513,0.0437553526146293,0.14
10,2.0,3,KEDİ,Re-introduction,12,1.0,0.1010781732355096,0.118426831695519,0.026935176217324695,0.02262374770872496,0.16
11,2.0,4,FARE,Introduction,3,-1.0,0.3937688240420984,0.43401711550413896,0.20189711910213184,0.14743485280289442,0.48
12,2.0,4,FARE,Maintenance,7,4.0,0.11261757940861,0.12129087281440108,0.027763491815057828,0.024596094762253898,0.24
13,2.0,4,FARE,Re-introduction,4,1.0,0.296428781330458,0.3443910203726011,0.1141956640239722,0.1204560177289179,0.42000000000000004
14,2.0,4,FARE,Re-introduction,6,1.0,0.1446367986964108,0.1681186653504071,0.0675853374574135,0.0597124870256414,0.36
15,2.0,4,FARE,Re-introduction,9,1.0,0.5994780275710903,0.6150830330508791,0.1293239633878657,0.14471802225454944,0.48
16,2.0,4,KEDİ,Introduction,5,-1.0,0.1536420330321869,0.1713517739715913,0.0682796052264561,0.041308681924475725,0.34
17,2.0,5,FARE,Introduction,9,-1.0,0.4976387560410403,0.5305415358050627,0.19559960319752148,0.1498769441341099,0.4
18,2.0,5,FARE,Re-introduction,11,1.0,0.3795468030515374,0.4191189990083405,0.10366535219248121,0.13558095586888957,0.48
19,2.0,5,KEDİ,Introduction,1,1.0,0.5663569079903684,0.593589733413076,0.24365364195348543,0.2862964583241777,0.5
20,2.0,5,KEDİ,Re-introduction,15,0.0,0.3062990581275837,0.3274214570406315,0.0583611477272727,0.04185994887089252,0.28
21,2.0,6,FARE,Introduction,1,-1.0,0.48216992475331,0.5106759340557535,0.13774611962905633,0.1305258740560318,0.62
22,2.0,6,FARE,Re-introduction,15,0.0,0.1438281616032117,0.16460346091595546,0.037121073261503705,0.0550092655754151,0.34
23,2.0,6,KEDİ,Introduction,3,1.0,0.2528302099229452,0.2899780329235769,0.0547362437168212,0.0692818202959429,0.2
24,2.0,6,KEDİ,Re-introduction,13,1.0,0.3099912743876097,0.3466588877760834,0.0717916324482329,0.060250919055965,0.22
25,2.0,7,KEDİ,Introduction,3,-1.0,0.8102149740260264,0.8380021087973866,0.17947003903456749,0.17415230778575777,0.3
26,2.0,7,KEDİ,Re-introduction,7,2.0,0.3449577878561382,0.35010299776205206,0.055696183391877596,0.1896803196297267,0.22
27,2.0,8,FARE,Introduction,4,0.0,0.4581418789148178,0.4729862438185743,0.0867798684890366,0.030297816889334132,0.2
28,2.0,8,FARE,Maintenance,7,5.0,0.170810764773496,0.1710393967171852,0.0300453437413449,0.0107768832052711,0.14
29,2.0,8,FARE,Re-introduction,9,3.0,0.08852086524330909,0.1079058943683015,0.0416394553040307,0.0328474062069771,0.18
30,2.0,8,KEDİ,Re-introduction,8,1.0,0.4361000362573537,0.4910313890594591,0.13515017929217726,0.15463190801687812,0.56
31,2.0,9,FARE,Introduction,2,0.0,0.4044556630863826,0.4496441181929255,0.10118012073506977,0.0807715034637502,0.54
32,2.0,9,FARE,Maintenance,14,4.0,0.19159349465488812,0.2096771698369246,0.060746373177532446,0.046345545875483,0.26
33,2.0,9,FARE,Re-introduction,4,2.0,0.1552519600049568,0.1740492370480902,0.0552647036749319,0.023862718558490502,0.32
34,2.0,9,FARE,Re-introduction,9,1.0,0.3791927607380961,0.42152889403000626,0.1469200520187369,0.12268426482219896,0.56
35,2.0,9,FARE,Re-introduction,13,1.0,0.2286986303724837,0.251346854509098,0.0444146362318149,0.03093152041156991,0.3
36,2.0,9,KEDİ,Introduction,1,1.0,0.4580954007214636,0.49582774664035295,0.1326778227750989,0.17741177157518523,0.8599999999999999
37,2.0,9,KEDİ,Re-introduction,11,0.0,0.0854489743661718,0.0975622153941614,0.0542289447828729,0.0168630470840039,0.12
38,2.0,10,FARE,Introduction,1,1.0,0.3188466474171367,0.34925614203089567,0.12557675533019888,0.10508117907171949,0.52
39,2.0,10,FARE,Re-introduction,6,1.0,0.3106065720729288,0.347697461327457,0.1158515031763792,0.11512358275432714,0.5
40,2.0,10,FARE,Re-introduction,8,2.0,0.1225081972836186,0.1457702527093597,0.03563661803327485,0.0252192478111921,0.3
41,2.0,10,KEDİ,Introduction,2,0.0,0.4367210924558983,0.4950218056987683,0.1588424068745466,0.1359481124758837,0.48
42,2.0,10,KEDİ,Maintenance,3,4.0,0.1642722618595543,0.1634569679806971,0.08373028947010301,0.03113903471228965,0.24
43,2.0,10,KEDİ,Maintenance,4,4.0,0.2299234009734779,0.2575126750136259,0.0927837437699412,0.09460792810027985,0.18
44,3.0,1,FARE,Introduction,2,-1.0,0.7258263332921955,0.794354148378427,0.2648274206502672,0.1871554605599408,0.6
45,3.0,1,FARE,Re-introduction,6,1.0,0.7073394585075365,0.7364108149567259,0.09852888115379294,0.08368817539694309,0.42000000000000004
46,3.0,1,FARE,Re-introduction,11,1.0,0.2721907669694731,0.29165122975182073,0.092164480075395,0.0899118807314182,0.38
47,3.0,1,FARE,Re-introduction,15,1.0,0.2544875870682295,0.2585671132340605,0.0572617367574993,0.0332167556006891,0.28
48,3.0,1,KEDİ,Introduction,1,0.0,0.3236537454698896,0.3502712035738685,0.1096285497983293,0.0818868805162896,0.42000000000000004
49,3.0,1,KEDİ,Maintenance,14,3.0,0.10280005023726731,0.11275227969667209,0.0546940045274296,0.0579923127114755,0.2
50,3.0,1,KEDİ,Re-introduction,3,2.0,0.2522825492439559,0.2650482813719366,0.0819432318739303,0.09577695041493971,0.36
51,3.0,1,KEDİ,Re-introduction,9,1.0,0.0755359220687455,0.0867921958267158,0.0441113447855356,0.0333207549109259,0.18
52,3.0,1,KEDİ,Re-introduction,12,1.0,0.19666704902582072,0.210248272935734,0.1033872717372228,0.044766310285243506,0.24
53,3.0,1,KEDİ,Re-introduction,17,1.0,0.0863910311805028,0.0948796659340181,0.037955449240054104,0.0314232475972637,0.14
54,3.0,2,KEDİ,Introduction,1,0.0,0.43074390813383995,0.48677191762125244,0.1455085207964345,0.15254152575466567,0.48
55,3.0,2,KEDİ,Introduction,3,-1.0,0.20396609768992902,0.2192382349282711,0.0969751466407269,0.05302086818917486,0.36
56,3.0,2,KEDİ,Re-introduction,7,0.0,0.2516552832551852,0.26391050430573365,0.10122490023489311,0.05492557736794727,0.18
57,3.0,2,KEDİ,Re-introduction,11,1.0,0.1042370699350806,0.1066528339455749,0.030956769943075613,0.038591817255765604,0.22
58,3.0,2,KEDİ,Re-introduction,14,1.0,0.2274616323554401,0.24794722460070628,0.05760127577660512,0.0362646153974964,0.22
59,3.0,3,FARE,Introduction,2,-1.0,0.2098960721919122,0.2201920281953458,0.053936922302914435,0.0457806165289654,0.28
60,3.0,3,FARE,Re-introduction,5,1.0,0.3158569583129094,0.3049601884147029,0.1922457362642686,0.13343523966775633,0.44
61,3.0,3,FARE,Re-introduction,7,1.0,0.10101157621855031,0.11141712969336881,0.0490466461562456,0.0457426083920136,0.26
62,3.0,3,FARE,Re-introduction,9,1.0,0.2051561585997805,0.2392961167956909,0.057989257272619596,0.07527893722988122,0.22
63,3.0,3,FARE,Re-introduction,14,0.0,0.2530607228352609,0.275627055279203,0.094405155304083,0.0366015826744888,0.28
64,3.0,3,KEDİ,Introduction,4,-1.0,1.1592333595605187,1.2342831778748122,0.2194454719304558,0.30411365785323924,0.6
65,3.0,3,KEDİ,Re-introduction,8,1.0,0.3199080239563919,0.33143479170058643,0.22135910382462531,0.2066219434670421,0.22
66,3.0,3,KEDİ,Re-introduction,17,0.0,0.0827675846449733,0.09240786748786041,0.0206185462384688,0.04931741901996886,0.2
67,3.0,3,KEDİ,Re-introduction,21,1.0,0.0787699593121465,0.08246216568046309,0.0233542287331912,0.0334971351439013,0.12
68,3.0,4,FARE,Introduction,3,-1.0,0.2428085536883993,0.2704659041140339,0.0764201674493712,0.0465086441247378,0.3
69,3.0,4,FARE,Introduction,6,-2.0,0.2740580811023663,0.2706261034857638,0.05901506832134312,0.03952443407582766,0.3
70,3.0,4,FARE,Re-introduction,9,1.0,0.594877275000568,0.6538705089272329,0.0961453384760917,0.1188172053408014,0.5
71,3.0,4,FARE,Re-introduction,11,1.0,0.2361653519654125,0.2564219543513277,0.0782799047651887,0.09369735815523209,0.32
72,3.0,4,FARE,Re-introduction,15,1.0,0.566256815844939,0.6127514412882499,0.1172584964458446,0.1506613058050524,0.42000000000000004
73,3.0,4,KEDİ,Introduction,1,1.0,0.3598853761980425,0.3902634470963121,0.1529879181032027,0.1568624158290837,0.66
74,3.0,4,KEDİ,Re-introduction,4,1.0,0.2885801468958215,0.315508300128144,0.07644919053579138,0.0649442391936047,0.42000000000000004
75,3.0,4,KEDİ,Re-introduction,12,0.0,0.1821274920952086,0.1787119207431674,0.0468583358294905,0.02600836639150071,0.22
76,3.0,4,KEDİ,Re-introduction,14,1.0,0.2330898819215844,0.24803316288873078,0.040744945476803004,0.029339217724536702,0.2
77,3.0,4,KEDİ,Re-introduction,19,0.0,0.4654152360379512,0.5030515149186546,0.097711859382344,0.0833264701466028,0.26
78,3.0,5,FARE,Introduction,5,-1.0,0.424514123249165,0.4546115892920703,0.06294855316518269,0.06880012229695973,0.38
79,3.0,5,FARE,Maintenance,23,4.0,0.7227364267318045,0.7800344632168364,0.1601157409981997,0.1735821832516615,0.52
80,3.0,5,FARE,Re-introduction,10,0.0,0.31746049440181456,0.3530283796875926,0.0686442869930844,0.0407278362726453,0.38
81,3.0,5,FARE,Re-introduction,15,0.0,0.6639248964495202,0.7408761235231683,0.15866412603683355,0.15394090400368088,0.56
82,3.0,5,FARE,Re-introduction,21,0.0,0.08788495986146,0.10584446588181681,0.0328528957736902,0.0241441784303639,0.26
83,3.0,5,FARE,Re-introduction,25,0.0,0.23172710380429448,0.2727600942775341,0.10006358220879608,0.06469370695225408,0.42000000000000004
84,3.0,5,KEDİ,Introduction,1,1.0,0.46533790585485924,0.5073638935656615,0.12834436623272744,0.11552030012868135,0.64
85,3.0,5,KEDİ,Maintenance,20,5.0,0.0801170554743868,0.0931895572974154,0.029249952631361598,0.0413911721460178,0.18
86,3.0,5,KEDİ,Re-introduction,6,1.0,0.2618015526482833,0.2877363573701387,0.1008333132311827,0.0402535721682315,0.16
87,3.0,5,KEDİ,Re-introduction,9,1.0,0.2502394043572174,0.2733303614394919,0.0817889454895321,0.0680347843883835,0.24
88,3.0,5,KEDİ,Re-introduction,12,1.0,0.20125844864604558,0.215875275140553,0.08842902134588768,0.11036960715792711,0.42000000000000004
