,Participant,Narrative,Event,Nativeness,Exposure,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Right_S_to_W_Distance,Left_S_to_W_Distance,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Left_Speed,Right_Speed,Event_Duration
0,2,2,5,Native,0-3,1.6225201201393833,1.6691978886428358,30.81238443209074,29.27532821318785,0.5746590394277715,0.6232370555204562,0.00715534074349638,0.006955247428581033,2.16
1,2,2,6,Native,0-3,1.2669797596756405,1.3449815360740678,26.364099564191537,27.56084305667912,0.5153821797233809,0.3957904654377498,0.009199600109945744,0.00866607222760356,1.7
2,2,2,7,Native,0-3,2.9109978018525773,3.1097444479117176,31.01490391532927,28.26137016856171,0.8803722850269754,0.8602264030349924,0.011073011137700177,0.010365324746662076,2.36
3,2,3,2,Native,0-3,1.8757488692777713,2.018768680619232,22.96558820557378,24.317258798517194,0.665183778556319,0.5741495365108292,0.012056669138910847,0.01120251355278172,1.82
4,2,3,4,Native,0-3,8.48372524495147,9.184331124826677,106.99648065519739,124.68535769672121,3.1428225067687534,2.7368914789948455,0.0027519089855777713,0.0025419858469220334,8.16
5,2,6,4,Native,0-3,1.0585147321415942,1.1475434161055513,9.030851301323656,10.889031035648776,0.415497605243017,0.34511485300115874,0.023419253389909214,0.021602341472277433,0.98
6,2,6,8,Native,0-3,5.450982311113858,5.887319533233268,71.48542786342219,81.88650696418803,2.1348185905397004,1.8845311410259848,0.004884121066229689,0.004522135648841761,4.9
7,2,9,4,Native,0-3,3.136621578292919,3.324869518309645,45.811557866409686,37.9418450890259,1.1578670973221892,1.1934182570974305,0.006617445900624244,0.006242778398003581,3.16
8,2,10,5,Native,0-3,5.653936707983525,6.148691360770921,53.98035546247397,56.102435535006705,1.5857897964008445,1.383964048624479,0.0054503876899362836,0.005011822065013939,4.74
9,3,2,5,Native,0-3,3.144363344731027,3.346680144700976,40.47015224584271,43.466551468068204,0.8976653758268648,0.8290659376762409,0.009114052681647538,0.008563081004169462,2.7
10,3,2,6,Native,0-3,3.6669160919614607,3.8498485095651946,38.08469192341081,33.20457775631695,1.1971086003548317,1.2658875358049966,0.011841315543692159,0.011278654318286974,2.54
11,3,2,7,Native,0-3,2.8477913857126893,2.956090617050703,43.71911845496975,44.08821649837869,0.8450680202789403,0.8808304579686329,0.008170510273771981,0.0078711757482385,2.68
12,3,3,2,Native,0-3,7.939152145602194,8.404860402929131,52.24987579900927,55.33179959895723,2.4889689533289228,2.0310028316676405,0.010048852705558501,0.009492051824010275,4.08
13,3,3,4,Native,0-3,17.2883891264104,18.44257410207901,206.9198180668085,224.65166859578986,6.749709426232714,6.160273198925166,0.001950951019565922,0.0018288553542545108,13.740000000000002
14,3,6,4,Native,0-3,4.666933021515826,5.005693668659033,74.20483753297654,75.58140700574171,1.6513171468173948,1.5683577953668444,0.004793623753791306,0.00446921495203768,4.56
15,3,6,8,Native,0-3,2.562950513397345,2.7331343895000524,23.5882943308139,27.124397143880238,0.8922774262250416,0.7791550604251534,0.02462283233783831,0.023089644264840944,1.48
16,3,9,4,Native,0-3,5.576091994750068,5.925063346585,46.93883329867055,44.66522721795347,1.9802248725382945,2.050928594085684,0.011792578908098478,0.011098025624452806,3.16
17,3,10,5,Native,0-3,7.439702537242954,7.866098495367915,74.48315251004068,82.80636959408997,1.9060778999766714,1.827912345504823,0.005664606014062618,0.005357545899040035,5.26
18,4,2,5,Late,4-7,2.098844285798494,2.228227476692695,30.906224957272155,29.425320174107007,0.4152431821535014,0.3574146623792606,0.012216159411692408,0.011506821742316304,1.8999999999999997
19,4,2,6,Late,4-7,5.827830414004812,6.177254420065109,87.57014590249894,88.53237890793726,2.040932051314535,2.035392276252308,0.003561198212881996,0.003359754648913186,5.88
20,4,2,7,Late,4-7,3.461125505989641,3.6689276977853766,37.36208670542045,37.882128584231495,0.958138908750801,0.7866063807971406,0.00999163316390353,0.009425723055527344,2.7
21,4,3,2,Late,4-7,7.1321883963630395,7.573584894206536,83.19431040120767,85.33639179280227,1.9303801836090715,1.8496306626306287,0.005099645075284513,0.004802432393586404,5.44
